epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,26547.1,0.97519,0.54799,0.86203,0.55789,0.41654,0.43543,0.2676,1.15365,0.83664,0.90176,0.0001684,0.0001684,0.0001684
86,26859,0.98283,0.54855,0.86192,0.55391,0.41596,0.4358,0.26812,1.15172,0.83521,0.90158,0.0001585,0.0001585,0.0001585
87,27170.9,0.98067,0.54785,0.86239,0.54644,0.41771,0.43534,0.26835,1.15249,0.83432,0.90175,0.0001486,0.0001486,0.0001486
88,27483,0.97102,0.54331,0.85893,0.54882,0.41774,0.43492,0.26804,1.15163,0.8358,0.90148,0.0001387,0.0001387,0.0001387
89,27795.2,0.97722,0.5428,0.86232,0.55615,0.4121,0.43481,0.26834,1.1508,0.83669,0.90118,0.0001288,0.0001288,0.0001288
90,28107.3,0.9768,0.54444,0.86156,0.55973,0.41098,0.435,0.26836,1.15161,0.83683,0.90144,0.0001189,0.0001189,0.0001189
91,28414.2,0.96257,0.52993,0.86349,0.54817,0.41788,0.43428,0.26726,1.15563,0.84048,0.90242,0.000109,0.000109,0.000109
92,28720.3,0.95248,0.51887,0.8595,0.54179,0.41892,0.43281,0.26571,1.158,0.84572,0.90243,9.91e-05,9.91e-05,9.91e-05
93,29026,0.9447,0.51342,0.8584,0.54642,0.41622,0.43245,0.26494,1.15951,0.84735,0.90297,8.92e-05,8.92e-05,8.92e-05
94,29331.7,0.94476,0.51372,0.85983,0.55093,0.41415,0.43351,0.26622,1.15872,0.84673,0.90249,7.93e-05,7.93e-05,7.93e-05
95,29637.5,0.93883,0.50913,0.85693,0.55245,0.41344,0.43278,0.26584,1.15945,0.84646,0.90258,6.94e-05,6.94e-05,6.94e-05
96,29943.5,0.93678,0.50589,0.85617,0.54749,0.4159,0.43251,0.26543,1.15876,0.84731,0.90273,5.95e-05,5.95e-05,5.95e-05
97,30249.1,0.93582,0.50633,0.85629,0.54475,0.41642,0.43229,0.26503,1.15961,0.84896,0.90276,4.96e-05,4.96e-05,4.96e-05
98,30554.8,0.93618,0.50534,0.85534,0.54767,0.417,0.43311,0.26514,1.15981,0.84932,0.90305,3.97e-05,3.97e-05,3.97e-05
99,30860.1,0.93555,0.50651,0.857,0.54494,0.41701,0.43225,0.265,1.16016,0.84979,0.90317,2.98e-05,2.98e-05,2.98e-05
100,31165.8,0.92894,0.50143,0.85588,0.54988,0.41223,0.43219,0.26496,1.15931,0.85018,0.90324,1.99e-05,1.99e-05,1.99e-05
